instrumentId,tradingday,openprice,highestprice,lowestprice,closeprice,openinterest,volume
a1201,2011-04-12 07:23,0.0,0.0,0.0,0.0,430008,0
a1201,2011-04-12 08:59,4632.0,4632.0,4632.0,4632.0,429942,1972
a1201,2011-04-12 09:00,4631.0,4638.0,4630.0,4632.0,427492,11916
a1201,2011-04-12 09:01,4633.0,4633.0,4624.0,4627.0,424240,11036
a1201,2011-04-12 09:02,4627.0,4634.0,4625.0,4634.0,424918,5712
a1201,2011-04-12 09:03,4632.0,4633.0,4629.0,4630.0,423588,6724
a1201,2011-04-12 09:04,4630.0,4636.0,4628.0,4636.0,421542,4196
a1201,2011-04-12 09:05,4636.0,4640.0,4635.0,4640.0,420998,4882
a1201,2011-04-12 09:06,4640.0,4641.0,4636.0,4637.0,419240,4874
a1201,2011-04-12 09:07,4637.0,4638.0,4633.0,4633.0,416858,4568
a1201,2011-04-12 09:08,4632.0,4634.0,4630.0,4632.0,416900,3758
a1201,2011-04-12 09:09,4632.0,4635.0,4631.0,4634.0,415908,3554
a1201,2011-04-12 09:10,4635.0,4637.0,4634.0,4636.0,414506,3182
a1201,2011-04-12 09:11,4636.0,4636.0,4634.0,4635.0,414418,1220
a1201,2011-04-12 09:12,4636.0,4636.0,4632.0,4632.0,413100,5030
a1201,2011-04-12 09:13,4632.0,4632.0,4630.0,4630.0,411236,4608
a1201,2011-04-12 09:14,4630.0,4631.0,4626.0,4627.0,411348,3134
a1201,2011-04-12 09:15,4628.0,4631.0,4626.0,4630.0,410388,3606
a1201,2011-04-12 09:16,4629.0,4636.0,4629.0,4636.0,409678,1820
a1201,2011-04-12 09:17,4635.0,4635.0,4630.0,4633.0,409066,1508
a1201,2011-04-12 09:18,4632.0,4635.0,4632.0,4635.0,409144,1454
a1201,2011-04-12 09:19,4635.0,4636.0,4634.0,4634.0,408848,972
a1201,2011-04-12 09:20,4635.0,4637.0,4635.0,4637.0,409018,1812
a1201,2011-04-12 09:21,4635.0,4637.0,4635.0,4635.0,408746,1302
a1201,2011-04-12 09:22,4636.0,4636.0,4634.0,4636.0,408246,1268
a1201,2011-04-12 09:23,4636.0,4643.0,4635.0,4642.0,408680,5020
a1201,2011-04-12 09:24,4642.0,4642.0,4636.0,4637.0,409296,3160
a1201,2011-04-12 09:25,4638.0,4638.0,4633.0,4636.0,409500,2788
a1201,2011-04-12 09:26,4636.0,4637.0,4633.0,4633.0,410728,3250
a1201,2011-04-12 09:27,4632.0,4634.0,4632.0,4632.0,410480,1384
a1201,2011-04-12 09:28,4632.0,4637.0,4632.0,4636.0,410182,672
a1201,2011-04-12 09:29,4636.0,4636.0,4634.0,4636.0,409878,698
a1201,2011-04-12 09:30,4636.0,4638.0,4634.0,4635.0,408820,1710
a1201,2011-04-12 09:31,4635.0,4641.0,4634.0,4640.0,408194,1304
a1201,2011-04-12 09:32,4641.0,4641.0,4638.0,4640.0,407506,2470
a1201,2011-04-12 09:33,4642.0,4642.0,4640.0,4640.0,407464,1614
a1201,2011-04-12 09:34,4640.0,4644.0,4640.0,4644.0,407006,2348
a1201,2011-04-12 09:35,4644.0,4644.0,4640.0,4642.0,406762,1594
a1201,2011-04-12 09:36,4642.0,4647.0,4642.0,4646.0,405462,2334
a1201,2011-04-12 09:37,4646.0,4646.0,4642.0,4642.0,405056,1520
a1201,2011-04-12 09:38,4642.0,4645.0,4642.0,4644.0,404044,1744
a1201,2011-04-12 09:39,4645.0,4649.0,4644.0,4649.0,403232,3142
a1201,2011-04-12 09:40,4650.0,4650.0,4645.0,4646.0,402652,2870
a1201,2011-04-12 09:41,4646.0,4652.0,4645.0,4650.0,402340,2264
a1201,2011-04-12 09:42,4651.0,4654.0,4650.0,4651.0,401230,3348
a1201,2011-04-12 09:43,4651.0,4654.0,4651.0,4651.0,400960,1500
a1201,2011-04-12 09:44,4650.0,4652.0,4650.0,4650.0,400540,2470
a1201,2011-04-12 09:45,4650.0,4650.0,4649.0,4649.0,400398,1582
a1201,2011-04-12 09:46,4649.0,4650.0,4646.0,4646.0,399488,2138
a1201,2011-04-12 09:47,4646.0,4649.0,4645.0,4649.0,399244,1062
a1201,2011-04-12 09:48,4650.0,4650.0,4646.0,4647.0,398820,1692
a1201,2011-04-12 09:49,4645.0,4647.0,4644.0,4644.0,398606,1572
a1201,2011-04-12 09:50,4644.0,4646.0,4643.0,4645.0,398528,1510
a1201,2011-04-12 09:51,4645.0,4647.0,4645.0,4647.0,398542,634
a1201,2011-04-12 09:52,4647.0,4648.0,4647.0,4647.0,398502,372
a1201,2011-04-12 09:53,4647.0,4648.0,4646.0,4646.0,398694,578
a1201,2011-04-12 09:54,4646.0,4646.0,4643.0,4643.0,398488,762
a1201,2011-04-12 09:55,4643.0,4645.0,4642.0,4645.0,398236,868
a1201,2011-04-12 09:56,4645.0,4645.0,4643.0,4644.0,398264,410
a1201,2011-04-12 09:57,4645.0,4645.0,4644.0,4645.0,398274,384
a1201,2011-04-12 09:58,4644.0,4645.0,4640.0,4641.0,398046,1504
a1201,2011-04-12 09:59,4641.0,4643.0,4640.0,4642.0,397938,658
a1201,2011-04-12 10:00,4642.0,4642.0,4639.0,4639.0,398486,1566
a1201,2011-04-12 10:01,4639.0,4639.0,4636.0,4636.0,397396,2182
