instrumentId,tradingday,openprice,highestprice,lowestprice,closeprice,openinterest,volume
a1505,2015-02-05 20:59,4426.0,4426.0,4426.0,4426.0,175742,96
a1505,2015-02-05 21:00,4426.0,4429.0,4422.0,4425.0,175796,888
a1505,2015-02-05 21:01,4424.0,4426.0,4422.0,4422.0,175918,268
a1505,2015-02-05 21:02,4422.0,4423.0,4422.0,4422.0,175920,184
a1505,2015-02-05 21:03,4422.0,4423.0,4422.0,4422.0,175922,128
a1505,2015-02-05 21:04,4423.0,4428.0,4423.0,4427.0,176128,458
a1505,2015-02-05 21:05,4427.0,4427.0,4423.0,4424.0,176242,328
a1505,2015-02-05 21:06,4424.0,4424.0,4421.0,4422.0,176354,184
a1505,2015-02-05 21:07,4422.0,4423.0,4421.0,4421.0,176454,254
a1505,2015-02-05 21:08,4421.0,4422.0,4418.0,4419.0,176526,332
a1505,2015-02-05 21:09,4419.0,4421.0,4419.0,4420.0,176578,216
a1505,2015-02-05 21:10,4419.0,4421.0,4419.0,4421.0,176554,106
a1505,2015-02-05 21:11,4421.0,4423.0,4420.0,4423.0,176582,188
a1505,2015-02-05 21:12,4423.0,4425.0,4423.0,4425.0,176598,190
a1505,2015-02-05 21:13,4425.0,4425.0,4422.0,4422.0,176582,260
a1505,2015-02-05 21:14,4422.0,4424.0,4422.0,4422.0,176598,128
a1505,2015-02-05 21:15,4421.0,4422.0,4421.0,4421.0,176568,56
a1505,2015-02-05 21:16,4421.0,4421.0,4418.0,4418.0,176554,50
a1505,2015-02-05 21:17,4418.0,4418.0,4416.0,4417.0,176544,152
a1505,2015-02-05 21:18,4417.0,4419.0,4417.0,4419.0,176546,110
a1505,2015-02-05 21:19,4419.0,4419.0,4418.0,4418.0,176552,20
a1505,2015-02-05 21:20,4418.0,4419.0,4417.0,4418.0,176548,74
a1505,2015-02-05 21:21,4419.0,4419.0,4418.0,4419.0,176568,72
a1505,2015-02-05 21:22,4419.0,4420.0,4418.0,4418.0,176588,72
a1505,2015-02-05 21:23,4418.0,4419.0,4418.0,4419.0,176584,36
a1505,2015-02-05 21:24,4419.0,4419.0,4418.0,4418.0,176574,38
a1505,2015-02-05 21:25,4418.0,4418.0,4418.0,4418.0,176564,30
a1505,2015-02-05 21:26,4418.0,4421.0,4418.0,4421.0,176616,114
a1505,2015-02-05 21:27,4421.0,4421.0,4420.0,4420.0,176610,20
a1505,2015-02-05 21:28,4420.0,4422.0,4420.0,4422.0,176542,156
a1505,2015-02-05 21:29,4422.0,4422.0,4420.0,4421.0,176528,66
a1505,2015-02-05 21:30,4421.0,4421.0,4420.0,4420.0,176528,22
a1505,2015-02-05 21:31,4420.0,4421.0,4418.0,4418.0,176538,140
a1505,2015-02-05 21:32,4419.0,4419.0,4415.0,4416.0,176600,264
a1505,2015-02-05 21:33,4416.0,4418.0,4416.0,4417.0,176596,34
a1505,2015-02-05 21:34,4417.0,4419.0,4417.0,4417.0,176614,74
a1505,2015-02-05 21:35,4418.0,4419.0,4418.0,4419.0,176616,14
a1505,2015-02-05 21:36,4419.0,4419.0,4418.0,4418.0,176618,6
a1505,2015-02-05 21:37,4419.0,4419.0,4418.0,4418.0,176604,48
a1505,2015-02-05 21:38,4419.0,4419.0,4418.0,4419.0,176618,18
a1505,2015-02-05 21:39,4419.0,4419.0,4419.0,4419.0,176618,2
a1505,2015-02-05 21:40,4419.0,4420.0,4419.0,4420.0,176616,4
a1505,2015-02-05 21:41,4420.0,4420.0,4419.0,4419.0,176614,4
a1505,2015-02-05 21:42,4419.0,4420.0,4419.0,4419.0,176618,34
a1505,2015-02-05 21:43,4419.0,4419.0,4419.0,4419.0,176616,4
a1505,2015-02-05 21:44,4419.0,4419.0,4419.0,4419.0,176612,4
a1505,2015-02-05 21:45,4419.0,4420.0,4419.0,4420.0,176596,22
a1505,2015-02-05 21:46,4420.0,4422.0,4420.0,4422.0,176582,94
a1505,2015-02-05 21:47,4422.0,4422.0,4422.0,4422.0,176604,46
a1505,2015-02-05 21:48,4422.0,4423.0,4422.0,4423.0,176652,104
a1505,2015-02-05 21:49,4423.0,4424.0,4422.0,4424.0,176676,68
a1505,2015-02-05 21:50,4424.0,4426.0,4423.0,4423.0,176866,394
a1505,2015-02-05 21:51,4423.0,4423.0,4422.0,4423.0,176868,8
a1505,2015-02-05 21:52,4423.0,4424.0,4423.0,4424.0,176876,30
a1505,2015-02-05 21:53,4423.0,4423.0,4423.0,4423.0,176870,42
a1505,2015-02-05 21:54,4423.0,4423.0,4420.0,4420.0,176864,76
a1505,2015-02-05 21:55,4420.0,4420.0,4420.0,4420.0,176860,24
a1505,2015-02-05 21:56,4420.0,4420.0,4420.0,4420.0,176856,12
a1505,2015-02-05 21:57,4420.0,4420.0,4420.0,4420.0,176854,6
a1505,2015-02-05 21:58,4420.0,4420.0,4420.0,4420.0,176852,6
a1505,2015-02-05 21:59,4420.0,4421.0,4419.0,4421.0,176838,48
a1505,2015-02-05 22:00,4421.0,4421.0,4419.0,4419.0,176836,34
a1505,2015-02-05 22:01,4419.0,4420.0,4419.0,4419.0,176836,10
a1505,2015-02-05 22:02,4419.0,4420.0,4419.0,4420.0,176830,12
a1505,2015-02-05 22:03,4420.0,4422.0,4420.0,4421.0,176874,92
a1505,2015-02-05 22:04,4421.0,4421.0,4420.0,4420.0,176872,22
a1505,2015-02-05 22:05,4422.0,4423.0,4421.0,4421.0,176852,56
a1505,2015-02-05 22:06,4421.0,4421.0,4420.0,4420.0,176852,14
a1505,2015-02-05 22:07,4420.0,4421.0,4420.0,4421.0,176842,14
a1505,2015-02-05 22:08,4421.0,4421.0,4420.0,4420.0,176838,10
a1505,2015-02-05 22:09,4420.0,4420.0,4420.0,4420.0,176834,4
a1505,2015-02-05 22:10,4420.0,4420.0,4420.0,4420.0,176828,10
a1505,2015-02-05 22:11,4419.0,4421.0,4419.0,4420.0,176834,16
a1505,2015-02-05 22:12,4420.0,4420.0,4420.0,4420.0,176828,12
a1505,2015-02-05 22:13,4420.0,4420.0,4420.0,4420.0,176842,20
a1505,2015-02-05 22:14,4420.0,4420.0,4420.0,4420.0,176842,0
a1505,2015-02-05 22:15,4420.0,4420.0,4419.0,4419.0,176846,8
a1505,2015-02-05 22:16,4419.0,4419.0,4419.0,4419.0,176846,0
a1505,2015-02-05 22:17,4419.0,4419.0,4419.0,4419.0,176848,4
a1505,2015-02-05 22:18,4419.0,4420.0,4419.0,4420.0,176850,14
a1505,2015-02-05 22:19,4419.0,4419.0,4419.0,4419.0,176862,12
a1505,2015-02-05 22:20,4419.0,4419.0,4419.0,4419.0,176858,20
a1505,2015-02-05 22:21,4419.0,4419.0,4417.0,4417.0,176796,120
a1505,2015-02-05 22:22,4418.0,4418.0,4418.0,4418.0,176810,28
a1505,2015-02-05 22:23,4418.0,4419.0,4418.0,4419.0,176804,44
a1505,2015-02-05 22:24,4419.0,4419.0,4419.0,4419.0,176802,6
a1505,2015-02-05 22:25,4419.0,4419.0,4419.0,4419.0,176806,18
a1505,2015-02-05 22:26,4420.0,4420.0,4420.0,4420.0,176810,10
a1505,2015-02-05 22:27,4420.0,4422.0,4420.0,4422.0,176822,28
a1505,2015-02-05 22:28,4422.0,4422.0,4421.0,4421.0,176832,16
a1505,2015-02-05 22:29,4421.0,4421.0,4421.0,4421.0,176832,2
a1505,2015-02-05 22:30,4421.0,4422.0,4421.0,4422.0,176836,4
a1505,2015-02-05 22:31,4422.0,4422.0,4421.0,4421.0,176850,48
a1505,2015-02-05 22:32,4420.0,4421.0,4420.0,4420.0,176864,26
a1505,2015-02-05 22:33,4420.0,4420.0,4419.0,4419.0,176860,18
a1505,2015-02-05 22:34,4419.0,4419.0,4419.0,4419.0,176862,20
a1505,2015-02-05 22:35,4419.0,4419.0,4418.0,4418.0,176918,90
a1505,2015-02-05 22:36,4418.0,4418.0,4417.0,4417.0,176926,40
a1505,2015-02-05 22:37,4416.0,4418.0,4416.0,4417.0,176956,96
a1505,2015-02-05 22:38,4417.0,4418.0,4417.0,4418.0,176950,20
a1505,2015-02-05 22:39,4418.0,4419.0,4418.0,4419.0,176940,30
a1505,2015-02-05 22:40,4419.0,4419.0,4419.0,4419.0,176936,32
