instrumentId,tradingday,openprice,highestprice,lowestprice,closeprice,openinterest,volume
a1309,2013-04-16 07:29,4795.0,4795.0,4795.0,4795.0,220582,0
a1309,2013-04-16 08:59,4765.0,4765.0,4765.0,4765.0,220434,590
a1309,2013-04-16 09:00,4769.0,4774.0,4762.0,4774.0,221576,3812
a1309,2013-04-16 09:01,4773.0,4777.0,4773.0,4776.0,222774,2360
a1309,2013-04-16 09:02,4777.0,4780.0,4777.0,4779.0,223380,2010
a1309,2013-04-16 09:03,4780.0,4781.0,4779.0,4779.0,225252,3880
a1309,2013-04-16 09:04,4779.0,4780.0,4778.0,4778.0,226932,3610
a1309,2013-04-16 09:05,4778.0,4778.0,4767.0,4767.0,225970,2738
a1309,2013-04-16 09:06,4769.0,4775.0,4768.0,4773.0,226042,1580
a1309,2013-04-16 09:07,4773.0,4774.0,4770.0,4773.0,226612,1226
a1309,2013-04-16 09:08,4773.0,4775.0,4772.0,4774.0,226746,796
a1309,2013-04-16 09:09,4774.0,4778.0,4774.0,4777.0,226782,896
a1309,2013-04-16 09:10,4777.0,4779.0,4776.0,4779.0,226852,568
a1309,2013-04-16 09:11,4778.0,4780.0,4776.0,4776.0,226792,402
a1309,2013-04-16 09:12,4776.0,4776.0,4775.0,4775.0,226794,356
a1309,2013-04-16 09:13,4775.0,4776.0,4774.0,4774.0,227136,928
a1309,2013-04-16 09:14,4774.0,4776.0,4773.0,4776.0,227442,586
a1309,2013-04-16 09:15,4776.0,4779.0,4775.0,4779.0,227272,972
a1309,2013-04-16 09:16,4779.0,4780.0,4777.0,4779.0,227328,290
a1309,2013-04-16 09:17,4779.0,4779.0,4773.0,4776.0,227096,1254
a1309,2013-04-16 09:18,4776.0,4778.0,4775.0,4778.0,227186,218
a1309,2013-04-16 09:19,4778.0,4778.0,4774.0,4777.0,227266,514
a1309,2013-04-16 09:20,4777.0,4778.0,4776.0,4776.0,227278,254
a1309,2013-04-16 09:21,4776.0,4777.0,4772.0,4774.0,226950,956
a1309,2013-04-16 09:22,4774.0,4775.0,4772.0,4775.0,227114,354
a1309,2013-04-16 09:23,4775.0,4778.0,4775.0,4778.0,227098,334
a1309,2013-04-16 09:24,4778.0,4779.0,4775.0,4776.0,227362,944
a1309,2013-04-16 09:25,4776.0,4782.0,4776.0,4781.0,228024,1742
a1309,2013-04-16 09:26,4780.0,4783.0,4780.0,4783.0,228312,894
a1309,2013-04-16 09:27,4783.0,4785.0,4782.0,4783.0,228802,1614
a1309,2013-04-16 09:28,4783.0,4783.0,4781.0,4782.0,228960,244
a1309,2013-04-16 09:29,4782.0,4782.0,4781.0,4781.0,229180,292
a1309,2013-04-16 09:30,4781.0,4782.0,4781.0,4782.0,229250,216
a1309,2013-04-16 09:31,4782.0,4782.0,4781.0,4781.0,229340,298
a1309,2013-04-16 09:32,4781.0,4781.0,4780.0,4780.0,230138,1382
a1309,2013-04-16 09:33,4779.0,4780.0,4779.0,4779.0,230150,154
a1309,2013-04-16 09:34,4779.0,4781.0,4779.0,4780.0,230076,486
a1309,2013-04-16 09:35,4780.0,4783.0,4779.0,4783.0,230798,856
a1309,2013-04-16 09:36,4783.0,4784.0,4782.0,4784.0,231328,834
a1309,2013-04-16 09:37,4784.0,4786.0,4782.0,4785.0,231460,730
a1309,2013-04-16 09:38,4786.0,4787.0,4784.0,4786.0,231538,462
a1309,2013-04-16 09:39,4786.0,4790.0,4786.0,4789.0,232040,1292
a1309,2013-04-16 09:40,4789.0,4790.0,4788.0,4788.0,232180,646
a1309,2013-04-16 09:41,4788.0,4790.0,4788.0,4788.0,232624,640
a1309,2013-04-16 09:42,4789.0,4792.0,4788.0,4792.0,232436,1178
a1309,2013-04-16 09:43,4792.0,4794.0,4792.0,4794.0,231990,1952
a1309,2013-04-16 09:44,4794.0,4797.0,4793.0,4797.0,232338,1784
a1309,2013-04-16 09:45,4797.0,4797.0,4793.0,4794.0,233028,1882
a1309,2013-04-16 09:46,4795.0,4797.0,4793.0,4794.0,233298,1024
a1309,2013-04-16 09:47,4794.0,4796.0,4793.0,4795.0,233692,894
a1309,2013-04-16 09:48,4795.0,4796.0,4793.0,4793.0,233954,1058
a1309,2013-04-16 09:49,4793.0,4795.0,4793.0,4794.0,234174,916
a1309,2013-04-16 09:50,4794.0,4796.0,4794.0,4794.0,234322,266
a1309,2013-04-16 09:51,4794.0,4795.0,4792.0,4794.0,234196,982
a1309,2013-04-16 09:52,4794.0,4796.0,4794.0,4794.0,234290,474
a1309,2013-04-16 09:53,4794.0,4794.0,4792.0,4794.0,234492,534
a1309,2013-04-16 09:54,4793.0,4794.0,4793.0,4793.0,234570,176
