instrumentId,tradingday,openprice,highestprice,lowestprice,closeprice,openinterest,volume
a1301,2012-04-18 07:21,0.0,0.0,0.0,0.0,237552,0
a1301,2012-04-18 08:59,4677.0,4677.0,4677.0,4677.0,237506,294
a1301,2012-04-18 09:00,4678.0,4678.0,4671.0,4672.0,237282,2930
a1301,2012-04-18 09:01,4673.0,4675.0,4672.0,4672.0,237114,2056
a1301,2012-04-18 09:02,4673.0,4678.0,4673.0,4678.0,237406,1916
a1301,2012-04-18 09:03,4678.0,4678.0,4676.0,4676.0,237672,1102
a1301,2012-04-18 09:04,4675.0,4677.0,4674.0,4674.0,237650,1210
a1301,2012-04-18 09:05,4674.0,4674.0,4668.0,4670.0,237422,1206
a1301,2012-04-18 09:06,4670.0,4671.0,4668.0,4669.0,237394,714
a1301,2012-04-18 09:07,4669.0,4670.0,4668.0,4668.0,237642,514
a1301,2012-04-18 09:08,4668.0,4671.0,4668.0,4671.0,237838,892
a1301,2012-04-18 09:09,4671.0,4671.0,4668.0,4668.0,238108,436
a1301,2012-04-18 09:10,4668.0,4669.0,4665.0,4665.0,238430,960
a1301,2012-04-18 09:11,4665.0,4668.0,4665.0,4667.0,238526,772
a1301,2012-04-18 09:12,4667.0,4668.0,4666.0,4667.0,238612,458
a1301,2012-04-18 09:13,4667.0,4668.0,4665.0,4665.0,238840,860
a1301,2012-04-18 09:14,4665.0,4668.0,4665.0,4666.0,238840,822
a1301,2012-04-18 09:15,4666.0,4669.0,4666.0,4667.0,239050,716
a1301,2012-04-18 09:16,4668.0,4668.0,4666.0,4666.0,238842,408
a1301,2012-04-18 09:17,4666.0,4667.0,4666.0,4667.0,238898,240
a1301,2012-04-18 09:18,4667.0,4668.0,4667.0,4667.0,239032,254
a1301,2012-04-18 09:19,4667.0,4669.0,4666.0,4669.0,238926,414
a1301,2012-04-18 09:20,4669.0,4669.0,4668.0,4668.0,238926,114
a1301,2012-04-18 09:21,4668.0,4669.0,4667.0,4668.0,239220,446
a1301,2012-04-18 09:22,4668.0,4668.0,4667.0,4667.0,239278,140
a1301,2012-04-18 09:23,4668.0,4670.0,4667.0,4669.0,239414,614
a1301,2012-04-18 09:24,4669.0,4672.0,4669.0,4671.0,241010,2282
a1301,2012-04-18 09:25,4672.0,4672.0,4669.0,4670.0,241282,1102
